ground	city	map
Bachgraben	Basel	https://maps.app.goo.gl/NwXARQFApCxCTiTn9
Bäumlihof	Basel
Birsfelden	Basel	https://maps.app.goo.gl/d6sRjYKre9SrEqL87
Bout-du-monde	Geneva	https://maps.app.goo.gl/dVNeHm7cUFn8ms9z9
Brugg	Aargau	https://maps.app.goo.gl/XASP5Va9B8B95VUy8
Chopfli Athletic Field	Geneva	https://maps.app.goo.gl/bmEPwBN19EAzwJDG9
Deutweg	Winterthur	https://maps.app.goo.gl/Goxm3x3TxR5gmArP8
Embrach Cricket Ground	Zurich	https://maps.app.goo.gl/3bR6G8vH8z8AQz939
En Marche	Cossonay	https://maps.app.goo.gl/JqneifWDML1AWgnt9
En Prévessin	Geneva	https://maps.app.goo.gl/uVpG4DDe6Gy6pGvR7
Grundenmoos	St. Gallen
Hedingen	Zurich	https://maps.app.goo.gl/AQHkJXGqALKNwSfb6
Hünenberg	Zug
Kantonsschule	Solothurn	https://maps.app.goo.gl/SLL1segQqs2mdnvb9
Kreuzzleg	Aargau	https://maps.app.goo.gl/FE14mut9Y8DCbiT78
Luzern Cricket Ground	Luzern	https://maps.app.goo.gl/eiPG7FPLsZ7FzFex8
Obergösgen	Solothurn
Onex	Geneva	https://maps.app.goo.gl/Bmt8Qf2DHVm4LUnk9
Pfäffikon	Zurich
Schönau	Bern	https://maps.app.goo.gl/B4DAiDsBXE3CS1bF9
Staad	St. Gallen
Tüfi	Zurich	https://maps.app.goo.gl/kq3szENr9shbePmr8
